timestamp,headline,snippet,source,ticker,text,sentiment_score,date
2025-05-15 13:20:26.874021,Market analysts review AAPL fundamentals,Market analysts review AAPL fundamentals according to market sources.,Reuters,AAPL,market analyst review aapl fundamental market analyst review aapl fundamental according market source,0.0,2025-05-15
2025-05-15 11:23:26.874021,Analysts upgrade AAPL with bullish outlook,Analysts upgrade AAPL with bullish outlook according to market sources.,Yahoo Finance,AAPL,analyst upgrade aapl bullish outlook analyst upgrade aapl bullish outlook according market source,0.0,2025-05-15
2025-05-15 14:52:26.874021,AAPL reports disappointing quarterly results,AAPL reports disappointing quarterly results according to market sources.,Reuters,AAPL,aapl report disappointing quarterly result aapl report disappointing quarterly result according market source,-0.7506,2025-05-15
2025-05-16 13:32:26.874021,AAPL beats revenue expectations significantly,AAPL beats revenue expectations significantly according to market sources.,CNBC,AAPL,aapl beat revenue expectation significantly aapl beat revenue expectation significantly according market source,0.0,2025-05-16
2025-05-16 12:24:26.874021,Supply chain issues impact AAPL performance,Supply chain issues impact AAPL performance according to market sources.,MarketWatch,AAPL,supply chain issue impact aapl performance supply chain issue impact aapl performance according market source,0.0,2025-05-16
2025-05-19 12:59:26.874021,Regulatory challenges facing AAPL operations,Regulatory challenges facing AAPL operations according to market sources.,Bloomberg,AAPL,regulatory challenge facing aapl operation regulatory challenge facing aapl operation according market source,0.1531,2025-05-19
2025-05-19 09:02:26.874021,AAPL beats revenue expectations significantly,AAPL beats revenue expectations significantly according to market sources.,Yahoo Finance,AAPL,aapl beat revenue expectation significantly aapl beat revenue expectation significantly according market source,0.0,2025-05-19
2025-05-19 09:38:26.874021,Supply chain issues impact AAPL performance,Supply chain issues impact AAPL performance according to market sources.,Reuters,AAPL,supply chain issue impact aapl performance supply chain issue impact aapl performance according market source,0.0,2025-05-19
2025-05-20 10:08:26.874021,AAPL announces routine board meeting,AAPL announces routine board meeting according to market sources.,Reuters,AAPL,aapl announces routine board meeting aapl announces routine board meeting according market source,0.0,2025-05-20
2025-05-21 15:59:26.874021,AAPL beats revenue expectations significantly,AAPL beats revenue expectations significantly according to market sources.,CNBC,AAPL,aapl beat revenue expectation significantly aapl beat revenue expectation significantly according market source,0.0,2025-05-21
2025-05-22 14:16:26.874021,Market analysts review AAPL fundamentals,Market analysts review AAPL fundamentals according to market sources.,CNBC,AAPL,market analyst review aapl fundamental market analyst review aapl fundamental according market source,0.0,2025-05-22
2025-05-23 14:05:26.874021,Regulatory challenges facing AAPL operations,Regulatory challenges facing AAPL operations according to market sources.,Reuters,AAPL,regulatory challenge facing aapl operation regulatory challenge facing aapl operation according market source,0.1531,2025-05-23
